manufacturer,type,size,year,condition,fuel,odometer,transmission,drive,cylinders,paint_color,price
ford,wagon,full-size,2006,excellent,gas,300000,automatic,rwd,8 cylinders,white,4300
pontiac,sedan,full-size,2009,good,gas,145000,automatic,fwd,6 cylinders,grey,4400
dodge,truck,full-size,2003,good,gas,148400,automatic,4wd,8 cylinders,white,4400
hyundai,sedan,full-size,2009,good,gas,151200,automatic,fwd,4 cylinders,blue,4400
mercury,SUV,full-size,2006,good,gas,156800,automatic,4wd,6 cylinders,black,4400
cadillac,sedan,mid-size,2004,good,gas,168000,automatic,fwd,6 cylinders,red,4400
lexus,sedan,mid-size,2005,excellent,gas,263012,automatic,fwd,6 cylinders,black,4400
chevrolet,SUV,full-size,2004,excellent,gas,175000,automatic,4wd,8 cylinders,black,4450
subaru,wagon,mid-size,2006,good,gas,204650,automatic,4wd,4 cylinders,silver,4450
honda,SUV,full-size,2005,excellent,gas,135000,automatic,4wd,4 cylinders,brown,4495
chevrolet,sedan,sub-compact,2017,good,gas,162000,manual,fwd,4 cylinders,black,4499
dodge,other,mid-size,2007,good,gas,16300,manual,4wd,4 cylinders,red,4500
chevrolet,coupe,compact,2006,good,gas,84000,manual,fwd,4 cylinders,orange,4500
chevrolet,sedan,full-size,2009,excellent,gas,110000,automatic,fwd,6 cylinders,red,4500
ford,truck,full-size,2002,excellent,gas,118500,automatic,rwd,6 cylinders,blue,4500
mazda,hatchback,compact,2009,excellent,gas,140000,automatic,fwd,4 cylinders,white,4500
nissan,hatchback,compact,2011,good,gas,144461,automatic,fwd,4 cylinders,white,4500
infiniti,sedan,mid-size,2009,fair,gas,145690,automatic,rwd,6 cylinders,black,4500
chevrolet,sedan,mid-size,2014,excellent,gas,161984,automatic,fwd,4 cylinders,grey,4500
dodge,sedan,mid-size,2010,excellent,gas,169635,automatic,fwd,4 cylinders,white,4500
honda,mini-van,full-size,2007,excellent,gas,180000,automatic,fwd,6 cylinders,red,4500
chevrolet,pickup,full-size,2001,good,gas,194000,automatic,4wd,8 cylinders,blue,4500
rover,SUV,full-size,2007,good,gas,200000,automatic,4wd,8 cylinders,silver,4500
toyota,sedan,compact,2011,good,gas,223000,automatic,fwd,4 cylinders,blue,4500
chevrolet,truck,full-size,2005,fair,gas,224000,automatic,4wd,8 cylinders,grey,4500
chevrolet,truck,full-size,2002,excellent,gas,238000,automatic,rwd,6 cylinders,white,4500
hyundai,sedan,mid-size,2011,good,gas,139000,automatic,fwd,4 cylinders,blue,4600
ford,sedan,sub-compact,2012,good,gas,168900,automatic,fwd,4 cylinders,red,4600
toyota,sedan,mid-size,2003,excellent,gas,197888,automatic,fwd,6 cylinders,silver,4600
hyundai,sedan,mid-size,2010,excellent,gas,145500,automatic,fwd,4 cylinders,black,4700
chevrolet,sedan,mid-size,2012,good,gas,147000,automatic,fwd,4 cylinders,white,4700
chevrolet,sedan,mid-size,2013,excellent,gas,189253,automatic,fwd,6 cylinders,silver,4750
mitsubishi,hatchback,compact,2015,good,gas,48554,automatic,fwd,3 cylinders,white,4800
ford,SUV,mid-size,2010,good,gas,123500,automatic,4wd,6 cylinders,blue,4800
honda,coupe,compact,2006,good,gas,267058,manual,fwd,4 cylinders,red,4800
chevrolet,SUV,mid-size,2010,good,gas,140000,automatic,fwd,6 cylinders,custom,4850
chevrolet,sedan,sub-compact,2010,good,gas,116686,automatic,fwd,4 cylinders,silver,4875
chrysler,convertible,mid-size,2008,excellent,gas,101000,automatic,rwd,4 cylinders,silver,4895
toyota,coupe,compact,2001,good,gas,152000,manual,fwd,4 cylinders,silver,4895
toyota,sedan,full-size,2005,excellent,gas,126626,automatic,fwd,4 cylinders,silver,4900
chevrolet,SUV,full-size,2003,good,gas,160000,automatic,4wd,8 cylinders,black,4900
honda,sedan,full-size,2005,excellent,gas,167000,automatic,fwd,4 cylinders,blue,4900
